#Format: frequency (Hz)  ratio (dB)  phase (deg)
     309.379     -223.561     -135.668
     312.244     -223.686     -134.636
     315.136     -223.845     -133.476
     318.055     -224.049     -132.125
     321.001     -224.315     -130.472
     323.974     -224.671     -128.313
     326.975     -225.159     -125.229
     330.003     -225.839     -120.246
      333.06     -226.739     -110.819
     336.145     -227.309     -90.3915
     339.258     -224.147     -58.5729
     342.401     -214.364     -81.0139
     345.572     -214.035     -88.0934
     348.773     -214.592     -75.4247
     352.003     -215.697     -116.276
     355.263     -217.088     -122.634
     358.554     -217.916     -124.645
     361.875     -218.459      -125.27
     365.227     -218.839     -125.301
      368.61     -219.115     -125.033
     372.024     -219.322     -124.599
     375.469     -219.481     -124.065
     378.947     -219.603     -123.467
     382.457     -219.699     -122.826
     385.999     -219.774     -122.153
     389.575     -219.831     -121.458
     393.183     -219.876     -120.747
     396.825     -219.909      -120.02
       400.5     -219.933     -119.283
      404.21     -219.949     -118.535
     407.953     -219.959     -117.779
     411.732     -219.962     -117.015
     415.546      -219.96     -116.244
     419.394     -219.954     -115.466
     423.279     -219.944     -114.682
     427.199      -219.93     -113.891
     431.156     -219.912     -113.094
      435.15     -219.892     -112.292
      439.18     -219.868     -111.483
     443.248     -219.842     -110.669
     447.353     -219.814     -109.849
     451.497     -219.783     -109.023
     455.679     -219.749     -108.192
     459.899     -219.714     -107.354
     464.159     -219.676     -106.511
     468.458     -219.636     -105.662
     472.797     -219.595     -104.807
     477.176     -219.552     -103.945
     481.596     -219.506     -103.079
     486.056     -219.459     -102.205
     490.558      -219.41     -101.325
     495.102      -219.36     -100.438
     499.688     -219.308     -99.5445
     504.316     -219.254     -98.6439
     508.987     -219.198     -97.7357
     513.701     -219.141     -96.8196
     518.459     -219.082     -95.8954
     523.261     -219.021      -94.962
     528.108     -218.959     -94.0195
     532.999     -218.895     -93.0667
     537.936      -218.83      -92.103
     542.919     -218.763     -91.1272
     547.947     -218.695     -90.1383
     553.022     -218.624     -89.1345
     558.145     -218.553     -88.1146
     563.314     -218.479     -87.0758
     568.532     -218.404     -86.0164
     573.798     -218.327     -84.9324
     579.112     -218.248     -83.8203
     584.476     -218.167     -82.6749
      589.89     -218.084     -81.4912
     595.353     -217.999     -80.2605
     600.868      -217.91     -78.9731
     606.433     -217.818     -77.6163
      612.05     -217.722     -76.1736
     617.719      -217.62     -74.6203
      623.44      -217.51     -72.9261
     629.215     -217.388     -71.0445
     635.043     -217.248     -68.9125
     640.924     -217.076     -66.4339
     646.861     -216.848     -63.4728
     652.852     -216.511     -59.8432
     658.899      -215.95     -55.3946
     665.002     -214.906     -50.5822
     671.161     -213.018     -48.9089
     677.378     -210.763     -58.4526
     683.652     -212.651     -71.6558
     689.984     -212.478     -70.6852
     696.374     -209.965     -61.0807
     702.824     -210.993     -86.9979
     709.334     -212.632     -91.5587
     715.904     -213.721     -89.7378
     722.535     -214.288     -86.6965
     729.227     -214.574     -83.8381
     735.981     -214.712     -81.3606
     742.798     -214.766     -79.2206
     749.678      -214.77     -77.3459
     756.622     -214.743     -75.6757
      763.63     -214.693     -74.1637
     770.703     -214.628     -72.7765
     777.841     -214.552     -71.4885
     785.046     -214.467     -70.2819
     792.317     -214.375     -69.1417
     799.655     -214.278     -68.0576
     807.062     -214.177     -67.0212
     814.537     -214.072     -66.0259
     822.082     -213.964     -65.0657
     829.696     -213.853     -64.1369
     837.381      -213.74     -63.2356
     845.137     -213.625     -62.3596
     852.964     -213.509     -61.5053
     860.865      -213.39     -60.6716
     868.838     -213.271     -59.8569
     876.886      -213.15     -59.0588
     885.008     -213.027     -58.2767
     893.205     -212.904     -57.5089
     901.478      -212.78     -56.7556
     909.827     -212.655     -56.0149
     918.254     -212.529     -55.2865
     926.759     -212.402     -54.5697
     935.343     -212.275     -53.8639
     944.006     -212.147     -53.1685
      952.75     -212.018     -52.4832
     961.575     -211.889     -51.8075
     970.481     -211.759      -51.141
      979.47     -211.629     -50.4834
     988.542     -211.499     -49.8343
     997.698     -211.368     -49.1935
     1006.94     -211.237     -48.5606
     1016.27     -211.105     -47.9355
     1025.68     -210.974     -47.3178
